latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
69.34282,138.3083,305.63,4.47,1.94,6/17/2024,0:50,A,59,6.1NRT,291.08,43.23,D
69.34501,138.30359,305.98,4.47,1.94,6/17/2024,0:50,A,61,6.1NRT,290.76,44.19,D
67.35579,145.13889,318.14,4.82,2,6/17/2024,0:50,A,65,6.1NRT,292.47,129.43,D
52.54623,39.65747,310.17,2.39,1.49,6/17/2024,1:02,A,79,6.1NRT,288.07,37.36,N
52.5433,39.65999,307.27,2.39,1.49,6/17/2024,1:02,A,71,6.1NRT,287.82,29.65,N
52.55164,39.62812,314.45,2.38,1.49,6/17/2024,1:02,A,89,6.1NRT,288.67,47.64,N
-11.5465,130.34682,314.64,1.04,1.02,6/17/2024,1:05,T,66,6.1NRT,301.88,8.13,D
-12.53406,134.0842,315.81,1.77,1.3,6/17/2024,1:05,T,69,6.1NRT,300.92,19.39,D
-12.52152,133.7066,311.84,1.66,1.27,6/17/2024,1:05,T,61,6.1NRT,299.66,13,D
-12.59787,134.0526,311.17,1.77,1.3,6/17/2024,1:05,T,59,6.1NRT,300.73,11.93,D
-12.56566,133.60362,341.66,1.63,1.26,6/17/2024,1:05,T,91,6.1NRT,302.35,84.56,D
-12.61323,133.98625,338.26,1.75,1.3,6/17/2024,1:05,T,89,6.1NRT,301.67,78.64,D
-12.58805,133.69124,315,1.66,1.27,6/17/2024,1:05,T,68,6.1NRT,299.86,17.3,D
-12.58994,133.7063,311.27,1.66,1.27,6/17/2024,1:05,T,59,6.1NRT,299.98,11.55,D
-12.62276,133.9687,313.18,1.74,1.29,6/17/2024,1:05,T,64,6.1NRT,299.94,14.67,D
-12.62474,133.98463,316.97,1.75,1.3,6/17/2024,1:05,T,71,6.1NRT,300.18,22,D
-12.62214,133.77919,310.55,1.68,1.28,6/17/2024,1:05,T,57,6.1NRT,300.12,11.17,D
-12.65485,133.76929,309.21,1.68,1.28,6/17/2024,1:05,T,36,6.1NRT,298.86,8.6,D
-12.65674,133.78471,310.97,1.69,1.28,6/17/2024,1:05,T,59,6.1NRT,299.59,11.96,D
-12.66811,133.78334,309.78,1.69,1.28,6/17/2024,1:05,T,38,6.1NRT,299.51,9.78,D
-12.69864,133.93668,309.5,1.74,1.29,6/17/2024,1:05,T,53,6.1NRT,299.38,10.77,D
-12.7316,134.01329,329.58,1.76,1.3,6/17/2024,1:05,T,84,6.1NRT,301.31,52.98,D
-12.73362,134.02946,314,1.77,1.3,6/17/2024,1:05,T,34,6.1NRT,301.48,14.85,D
-12.73569,134.04604,312.1,1.77,1.3,6/17/2024,1:05,T,62,6.1NRT,301.88,12.43,D
-12.73773,134.06236,321.87,1.78,1.31,6/17/2024,1:05,T,77,6.1NRT,301.14,31.99,D
-12.75957,133.86552,312.8,1.72,1.29,6/17/2024,1:05,T,58,6.1NRT,299.02,14.82,D
-12.78008,133.85629,311.4,1.72,1.29,6/17/2024,1:05,T,33,6.1NRT,300.59,12.37,D
-12.782,133.87184,323.1,1.72,1.29,6/17/2024,1:05,T,78,6.1NRT,300.23,35.27,D
-12.78391,133.88727,310.96,1.73,1.29,6/17/2024,1:05,T,16,6.1NRT,299.15,11.09,D
-12.8231,134.10938,313.49,1.8,1.31,6/17/2024,1:05,T,65,6.1NRT,300.26,16,D
-12.84442,134.09016,315.11,1.79,1.31,6/17/2024,1:05,T,68,6.1NRT,300.74,19.37,D
-12.72049,131.4091,323.17,1.18,1.08,6/17/2024,1:05,T,77,6.1NRT,302.46,18.33,D
-12.72191,131.4198,322.78,1.18,1.08,6/17/2024,1:05,T,76,6.1NRT,303.92,17.83,D
-13.10662,132.02132,323.77,1.29,1.13,6/17/2024,1:05,T,77,6.1NRT,304.24,19.37,D
-13.10816,132.03305,335.21,1.3,1.13,6/17/2024,1:05,T,87,6.1NRT,304.36,40.68,D
-13.11591,132.09213,322.05,1.31,1.13,6/17/2024,1:05,T,75,6.1NRT,303.22,18.39,D
-13.11821,132.03169,320.32,1.3,1.13,6/17/2024,1:05,T,70,6.1NRT,305.34,14.44,D
-13.11977,132.04346,316.37,1.3,1.13,6/17/2024,1:05,T,38,6.1NRT,303.87,8.99,D
-13.15629,132.08675,317.67,1.31,1.13,6/17/2024,1:05,T,69,6.1NRT,305.21,10.97,D
-12.5301,134.05211,311.56,1.76,1.3,6/17/2024,1:05,T,45,6.1NRT,300.19,10.71,D
-13.29234,131.96028,338.07,1.29,1.13,6/17/2024,1:05,T,89,6.1NRT,303.91,46.21,D
-13.30235,131.95886,324.09,1.29,1.13,6/17/2024,1:05,T,78,6.1NRT,301.41,21.04,D
-13.30391,131.9706,322.35,1.29,1.13,6/17/2024,1:05,T,75,6.1NRT,302.74,18.09,D
-13.31394,131.96919,321.43,1.29,1.13,6/17/2024,1:05,T,44,6.1NRT,302.05,15.44,D
-13.31551,131.98094,338.18,1.29,1.13,6/17/2024,1:05,T,89,6.1NRT,303.51,47.03,D
-13.27095,131.11282,323.5,1.16,1.07,6/17/2024,1:05,T,69,6.1NRT,304.72,15.25,D
-13.53234,132.23213,321.79,1.35,1.15,6/17/2024,1:05,T,75,6.1NRT,303.4,18.93,D
-13.53396,132.24443,313.45,1.35,1.15,6/17/2024,1:05,T,29,6.1NRT,302.19,8.04,D
-13.55123,132.21739,327.94,1.35,1.15,6/17/2024,1:05,T,69,6.1NRT,302.6,26.69,D
-13.54859,132.21204,318.27,1.35,1.15,6/17/2024,1:05,T,61,6.1NRT,302.56,13.03,D
-13.55014,132.22423,316.67,1.35,1.15,6/17/2024,1:05,T,51,6.1NRT,302.43,12.19,D
-13.7583,133.26665,310,1.6,1.25,6/17/2024,1:05,T,53,6.1NRT,298.6,10.78,D
-13.58918,131.58012,312.9,1.24,1.1,6/17/2024,1:05,T,60,6.1NRT,301.73,8.98,D
-13.94632,133.39603,313.21,1.65,1.26,6/17/2024,1:05,T,64,6.1NRT,298.96,15.36,D
-14.42154,131.55186,317.95,1.26,1.11,6/17/2024,1:05,T,66,6.1NRT,303.48,11.23,D
-14.43982,131.53743,316.89,1.26,1.11,6/17/2024,1:05,T,59,6.1NRT,301.4,11.34,D
-14.45587,131.58228,323.66,1.26,1.12,6/17/2024,1:05,T,78,6.1NRT,303.8,20.3,D
-14.4574,131.59381,320.16,1.27,1.12,6/17/2024,1:05,T,74,6.1NRT,303.98,15.11,D
-14.28812,130.27483,327.37,1.09,1.04,6/17/2024,1:05,T,81,6.1NRT,302.74,21.97,D
-14.28949,130.2847,327.12,1.09,1.04,6/17/2024,1:05,T,81,6.1NRT,304.41,20.78,D
-14.29736,130.27353,361.11,1.09,1.04,6/17/2024,1:05,T,100,6.1NRT,305.2,92.76,D
-14.29873,130.2834,340.41,1.09,1.04,6/17/2024,1:05,T,90,6.1NRT,304.26,40.97,D
-14.30347,130.26625,315.28,1.09,1.04,6/17/2024,1:05,T,50,6.1NRT,300.63,7.59,D
-14.30481,130.27614,364.57,1.09,1.04,6/17/2024,1:05,T,100,6.1NRT,306.89,104.02,D
-14.30615,130.28601,337.5,1.09,1.04,6/17/2024,1:05,T,89,6.1NRT,304.82,35.85,D
-14.31016,130.31572,312.58,1.09,1.04,6/17/2024,1:05,T,38,6.1NRT,301.14,6.34,D
-14.25033,129.8094,311.87,1.05,1.02,6/17/2024,1:05,T,47,6.1NRT,300.08,7.07,D
-14.33076,130.12219,318.23,1.07,1.03,6/17/2024,1:05,T,63,6.1NRT,303.01,9.8,D
